# power spectrum of chi
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.619630e-01   6.555426e-23   2.809790e-09   8.476865e-24   96
  2.629726e-01   5.882564e-23   3.547511e-04   3.777768e-24   192
  2.641613e-01   5.520436e-23   4.495664e-09   5.136823e-24   120
  2.648900e-01   8.603396e-23   0.000000e+00   7.088766e-24   144
  2.663415e-01   5.025004e-23   0.000000e+00   5.306188e-24   48
  2.673732e-01   5.823947e-23   3.567146e-04   3.238831e-24   336
  2.685040e-01   4.686908e-23   0.000000e+00   6.691913e-24   48
  2.699360e-01   5.032070e-23   0.000000e+00   4.018147e-24   192
  2.706492e-01   4.505966e-23   0.000000e+00   7.776874e-24   48
  2.726764e-01   4.258089e-23   2.476067e-04   5.555320e-24   56
  2.736844e-01   4.863070e-23   3.180112e-04   2.729605e-24   336
  2.748894e-01   4.924637e-23   3.532127e-09   5.433769e-24   54
  2.759390e-01   5.484026e-23   3.492904e-04   3.282034e-24   240
  2.781181e-01   5.010187e-23   3.344484e-04   2.952304e-24   228
  2.790651e-01   4.327367e-23   3.746387e-09   4.833248e-24   72
  2.799844e-01   4.696155e-23   3.244231e-04   4.566719e-24   144
  2.811298e-01   4.878698e-23   0.000000e+00   4.736967e-24   96
  2.818146e-01   4.462439e-23   4.495664e-09   2.625339e-24   240
  2.831793e-01   4.201075e-23   3.973643e-09   6.697186e-24   24
  2.840530e-01   4.592472e-23   3.064151e-04   2.629331e-24   336
  2.852142e-01   3.934221e-23   0.000000e+00   4.406159e-24   72
  2.862741e-01   3.628546e-23   3.332831e-04   2.877264e-24   168
  2.872346e-01   4.513320e-23   0.000000e+00   4.260991e-24   72
  2.885737e-01   3.816723e-23   0.000000e+00   3.946639e-24   96
  2.896108e-01   3.320769e-23   3.307829e-04   2.318290e-24   216
  2.905708e-01   4.890945e-23   3.973643e-09   5.188010e-24   96
  2.918946e-01   3.623203e-23   0.000000e+00   2.991020e-24   192
  2.925542e-01   3.522482e-23   3.746387e-09   2.813359e-24   144
  2.938691e-01   2.481806e-23   0.000000e+00   2.575387e-24   48
  2.947794e-01   3.660246e-23   3.189136e-04   2.269406e-24   246
  2.960164e-01   2.817238e-23   2.940434e-04   1.909893e-24   168
  2.971308e-01   3.552756e-23   5.506041e-09   4.220140e-24   120
  2.977788e-01   3.472077e-23   0.000000e+00   2.616839e-24   240
  2.990707e-01   2.786153e-23   3.973643e-09   4.220984e-24   24
  3.001001e-01   2.596122e-23   3.147475e-04   1.403939e-24   360
  3.013820e-01   3.123927e-23   3.134082e-04   2.866685e-24   120
  3.022763e-01   3.454011e-23   0.000000e+00   4.057008e-24   144
  3.029133e-01   3.641908e-23   0.000000e+00   3.440655e-24   96
  3.048165e-01   3.084620e-23   0.000000e+00   2.394745e-24   144
  3.054482e-01   2.892567e-23   0.000000e+00   1.884768e-24   132
  3.063360e-01   2.876866e-23   3.093292e-04   1.753016e-24   176
  3.076248e-01   3.036967e-23   3.123602e-04   1.709870e-24   312
  3.092116e-01   2.419295e-23   0.000000e+00   2.097152e-24   96
  3.098343e-01   2.797259e-23   0.000000e+00   1.960631e-24   144
  3.107899e-01   2.514116e-23   3.092271e-04   1.302661e-24   312
  3.123131e-01   2.546687e-23   0.000000e+00   2.703445e-24   48
  3.129297e-01   2.532748e-23   3.973643e-09   1.898937e-24   192
  3.141593e-01   4.274004e-23   0.000000e+00   5.339174e-24   6
  3.149762e-01   2.016490e-23   2.884066e-04   1.404222e-24   288
  3.162994e-01   2.131722e-23   3.047203e-04   1.717733e-24   192
  3.172124e-01   2.235842e-23   9.345130e-09   1.622559e-24   216
  3.178195e-01   2.686720e-23   0.000000e+00   3.591187e-24   72
  3.193321e-01   2.142690e-23   3.018264e-04   1.367312e-24   192
  3.203366e-01   2.203836e-23   2.241224e-04   1.307465e-24   288
  3.214381e-01   2.006995e-23   0.000000e+00   2.271894e-24   24
  3.222890e-01   2.004615e-23   2.952626e-04   1.031694e-24   456
  3.238280e-01   3.310220e-23   5.619580e-09   5.443260e-24   48
  3.247789e-01   2.020444e-23   2.908218e-04   1.349989e-24   240
  3.258718e-01   1.942521e-23   2.939082e-04   1.542451e-24   216
  3.267908e-01   2.523374e-23   0.000000e+00   3.937411e-24   72
  3.273801e-01   1.886354e-23   1.015467e-08   1.277871e-24   168
  3.290441e-01   1.832736e-23   2.184577e-04   1.148566e-24   288
  3.299773e-01   1.940471e-23   2.890570e-04   1.655089e-24   168
  3.314762e-01   1.475923e-23   0.000000e+00   1.051910e-24   192
  3.320572e-01   1.488299e-23   3.746387e-09   1.208447e-24   144
  3.332162e-01   2.388158e-23   0.000000e+00   2.109538e-24   36
  3.341991e-01   1.443994e-23   2.639705e-04   7.587540e-25   342
  3.351389e-01   1.791455e-23   2.710657e-04   1.245777e-24   144
  3.363470e-01   1.403232e-23   2.842800e-04   8.575068e-25   384
  3.378125e-01   1.532777e-23   7.786718e-09   1.345898e-24   120
  3.385379e-01   1.780241e-23   2.534951e-04   1.165667e-24   264
  3.395201e-01   1.501779e-23   1.256576e-08   1.127374e-24   192
  3.404451e-01   1.373018e-23   2.731894e-04   1.118009e-24   152
  3.412191e-01   1.446786e-23   7.492773e-09   1.095925e-24   144
  3.428472e-01   1.416938e-23   1.768108e-04   1.026244e-24   216
  3.436008e-01   1.413757e-23   2.362665e-04   8.371769e-25   312
  3.449274e-01   1.537700e-23   2.738281e-04   8.988234e-25   240
  3.457090e-01   1.364160e-23   3.973643e-09   1.256548e-24   96
  3.471927e-01   1.387396e-23   2.617995e-04   1.090225e-24   144
  3.481071e-01   1.056818e-23   2.573258e-04   4.875525e-25   456
  3.495904e-01   1.241442e-23   0.000000e+00   1.472391e-24   120
  3.501414e-01   1.550382e-23   0.000000e+00   1.149452e-24   144
  3.512407e-01   1.492737e-23   0.000000e+00   2.698199e-24   24
