# power spectrum of hij
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.586015e-01   3.173544e-23   3.715625e-04   1.213225e-24   312
  2.609797e-01   3.197326e-23   3.483547e-04   2.644584e-24   72
  2.619630e-01   2.940724e-23   2.809790e-09   2.030978e-24   96
  2.629726e-01   2.802234e-23   3.547511e-04   1.494578e-24   192
  2.641613e-01   2.904845e-23   4.495664e-09   1.756939e-24   120
  2.648900e-01   2.830856e-23   0.000000e+00   1.483367e-24   144
  2.663415e-01   2.586523e-23   0.000000e+00   1.833205e-24   48
  2.673732e-01   2.884896e-23   3.567146e-04   1.144827e-24   336
  2.685040e-01   2.657796e-23   0.000000e+00   2.978509e-24   48
  2.699360e-01   2.617462e-23   0.000000e+00   1.145361e-24   192
  2.706492e-01   2.144130e-23   0.000000e+00   1.790931e-24   48
  2.726764e-01   2.366783e-23   2.476067e-04   2.417834e-24   56
  2.736844e-01   2.368159e-23   3.180112e-04   8.839119e-25   336
  2.748894e-01   2.261232e-23   3.532127e-09   2.008775e-24   54
  2.759390e-01   2.243147e-23   3.492904e-04   1.058198e-24   240
  2.781181e-01   2.305892e-23   3.344484e-04   1.015444e-24   228
  2.790651e-01   2.418688e-23   3.746387e-09   2.104541e-24   72
  2.799844e-01   2.153037e-23   3.244231e-04   1.387951e-24   144
  2.811298e-01   2.575649e-23   0.000000e+00   1.815542e-24   96
  2.818146e-01   1.920595e-23   4.495664e-09   8.014686e-25   240
  2.831793e-01   2.434821e-23   3.973643e-09   3.109992e-24   24
  2.840530e-01   1.975893e-23   3.064151e-04   8.963385e-25   336
  2.852142e-01   1.804527e-23   0.000000e+00   1.119763e-24   72
  2.862741e-01   2.001658e-23   3.332831e-04   1.112304e-24   168
  2.872346e-01   2.511973e-23   0.000000e+00   1.658785e-24   72
  2.885737e-01   1.934832e-23   0.000000e+00   1.717146e-24   96
  2.896108e-01   2.088157e-23   3.307829e-04   1.090298e-24   216
  2.905708e-01   2.055544e-23   3.973643e-09   1.366982e-24   96
  2.918946e-01   1.711095e-23   0.000000e+00   8.408783e-25   192
  2.925542e-01   2.035460e-23   3.746387e-09   1.022837e-24   144
  2.938691e-01   1.745758e-23   0.000000e+00   1.721968e-24   48
  2.947794e-01   2.232473e-23   3.189136e-04   1.024606e-24   246
  2.960164e-01   1.621754e-23   2.940434e-04   8.053763e-25   168
  2.971308e-01   2.074500e-23   5.506041e-09   1.466712e-24   120
  2.977788e-01   1.948995e-23   0.000000e+00   9.780678e-25   240
  2.990707e-01   1.961302e-23   3.973643e-09   3.687561e-24   24
  3.001001e-01   1.985212e-23   3.147475e-04   7.648554e-25   360
  3.013820e-01   2.113272e-23   3.134082e-04   1.494923e-24   120
  3.022763e-01   1.647864e-23   0.000000e+00   7.621885e-25   144
  3.029133e-01   1.903498e-23   0.000000e+00   1.718895e-24   96
  3.048165e-01   1.578467e-23   0.000000e+00   8.261512e-25   144
  3.054482e-01   1.914369e-23   0.000000e+00   1.142039e-24   132
  3.063360e-01   1.628584e-23   3.093292e-04   7.847563e-25   176
  3.076248e-01   1.719448e-23   3.123602e-04   7.162572e-25   312
  3.092116e-01   1.472405e-23   0.000000e+00   1.162090e-24   96
  3.098343e-01   1.379376e-23   0.000000e+00   6.982097e-25   144
  3.107899e-01   1.652212e-23   3.092271e-04   7.232169e-25   312
  3.123131e-01   1.525857e-23   0.000000e+00   1.649809e-24   48
  3.129297e-01   1.581976e-23   3.973643e-09   7.731164e-25   192
  3.141593e-01   1.983818e-23   0.000000e+00   3.033219e-24   6
  3.149762e-01   1.443725e-23   2.884066e-04   6.061406e-25   288
  3.162994e-01   1.576460e-23   3.047203e-04   7.603253e-25   192
  3.172124e-01   1.497984e-23   9.345130e-09   6.929208e-25   216
  3.178195e-01   1.438106e-23   0.000000e+00   1.015306e-24   72
  3.193321e-01   1.458556e-23   3.018264e-04   6.198458e-25   192
  3.203366e-01   1.555449e-23   2.241224e-04   6.850467e-25   288
  3.214381e-01   1.541062e-23   0.000000e+00   2.189600e-24   24
  3.222890e-01   1.298459e-23   2.952626e-04   3.835073e-25   456
  3.238280e-01   1.606899e-23   5.619580e-09   1.677237e-24   48
  3.247789e-01   1.546577e-23   2.908218e-04   7.086255e-25   240
  3.258718e-01   1.558779e-23   2.939082e-04   7.355262e-25   216
  3.267908e-01   1.438957e-23   0.000000e+00   1.223995e-24   72
  3.273801e-01   1.179492e-23   1.015467e-08   5.238489e-25   168
  3.290441e-01   1.240096e-23   2.184577e-04   5.969631e-25   288
  3.299773e-01   1.315241e-23   2.890570e-04   7.066958e-25   168
  3.314762e-01   1.241992e-23   0.000000e+00   5.850802e-25   192
  3.320572e-01   1.285305e-23   3.746387e-09   6.718099e-25   144
  3.332162e-01   1.567401e-23   0.000000e+00   1.378574e-24   36
  3.341991e-01   1.314815e-23   2.639705e-04   4.823761e-25   342
  3.351389e-01   1.275983e-23   2.710657e-04   7.700731e-25   144
  3.363470e-01   1.323084e-23   2.842800e-04   5.621513e-25   384
  3.378125e-01   1.395173e-23   7.786718e-09   8.956976e-25   120
  3.385379e-01   1.434636e-23   2.534951e-04   6.108474e-25   264
  3.395201e-01   1.109684e-23   1.256576e-08   5.016500e-25   192
  3.404451e-01   1.259401e-23   2.731894e-04   7.608744e-25   152
  3.412191e-01   1.214285e-23   7.492773e-09   9.781906e-25   144
  3.428472e-01   1.147762e-23   1.768108e-04   5.873969e-25   216
  3.436008e-01   1.243897e-23   2.362665e-04   5.151749e-25   312
  3.449274e-01   1.154664e-23   2.738281e-04   4.336963e-25   240
  3.457090e-01   1.205417e-23   3.973643e-09   8.190185e-25   96
  3.471927e-01   9.434730e-24   2.617995e-04   5.353694e-25   144
  3.481071e-01   1.081570e-23   2.573258e-04   3.766085e-25   456
  3.495904e-01   1.198596e-23   0.000000e+00   8.907481e-25   120
  3.501414e-01   1.202931e-23   0.000000e+00   7.735708e-25   144
  3.512407e-01   1.385377e-23   0.000000e+00   1.552963e-24   24
  3.519456e-01   1.003155e-23   2.473498e-04   3.893169e-25   336
  3.531645e-01   1.075741e-23   2.727931e-04   6.393941e-25   198
  3.543067e-01   1.161111e-23   2.652756e-04   4.294616e-25   432
  3.556041e-01   1.219269e-23   0.000000e+00   1.434943e-24   48
  3.562810e-01   1.147783e-23   2.341925e-04   4.714881e-25   384
  3.574963e-01   1.053152e-23   2.696052e-04   5.571879e-25   144
  3.585975e-01   1.029668e-23   2.676825e-04   4.626426e-25   264
  3.599147e-01   8.980235e-24   0.000000e+00   1.258218e-24   48
  3.607984e-01   1.013504e-23   2.545223e-04   4.843444e-25   276
  3.616510e-01   1.005732e-23   2.307176e-04   5.747829e-25   192
  3.627906e-01   9.135093e-24   2.592759e-04   2.895414e-25   552
  3.641741e-01   1.140313e-23   8.991328e-09   8.475299e-25   120
  3.649965e-01   7.967560e-24   2.624511e-04   3.446411e-25   216
  3.657587e-01   1.077552e-23   4.495664e-09   6.950873e-25   120
  3.671201e-01   9.784624e-24   2.584500e-04   3.475929e-25   408
  3.683844e-01   7.847036e-24   5.619580e-09   7.353421e-25   24
  3.691684e-01   9.402530e-24   2.610810e-04   3.162277e-25   384
  3.702633e-01   8.372011e-24   2.550855e-04   4.222347e-25   240
  3.712141e-01   9.240373e-24   2.569535e-04   4.980320e-25   168
  3.725471e-01   9.215071e-24   6.357829e-09   8.212984e-25   120
  3.734064e-01   9.665808e-24   2.678605e-04   4.111529e-25   350
  3.748037e-01   8.384708e-24   4.409502e-04   3.009725e-25   384
  3.756388e-01   1.074968e-23   0.000000e+00   6.397934e-25   144
  3.771752e-01   8.090259e-24   1.059638e-08   3.450638e-25   288
  3.779773e-01   8.412418e-24   2.524053e-04   3.448920e-25   336
  3.790686e-01   8.279265e-24   2.297941e-04   4.827426e-25   168
  3.797219e-01   9.114653e-24   4.541306e-09   3.728630e-25   336
  3.810732e-01   7.747524e-24   2.385126e-04   3.065850e-25   288
  3.818848e-01   9.504714e-24   2.247398e-04   4.666059e-25   264
  3.832590e-01   7.812785e-24   0.000000e+00   3.585035e-25   240
  3.837616e-01   8.116575e-24   7.947286e-09   5.634150e-25   96
  3.855656e-01   7.685521e-24   3.056310e-04   2.703602e-25   360
  3.864075e-01   8.763918e-24   2.253025e-04   5.643192e-25   168
  3.874713e-01   8.288278e-24   2.456032e-04   2.977274e-25   456
  3.887523e-01   7.618324e-24   7.064254e-09   5.597908e-25   108
  3.894728e-01   7.500022e-24   2.464311e-04   3.389468e-25   264
  3.903716e-01   8.105447e-24   2.198567e-04   3.473404e-25   264
  3.916025e-01   7.633350e-24   2.074668e-04   2.995823e-25   312
  3.931351e-01   7.713642e-24   1.541705e-04   3.447489e-25   270
  3.937775e-01   6.914069e-24   1.957388e-04   3.209870e-25   240
  3.949323e-01   8.190961e-24   2.421536e-04   3.643076e-25   384
  3.956334e-01   8.832935e-24   0.000000e+00   4.715101e-25   192
  3.969952e-01   8.538800e-24   1.942960e-04   4.324986e-25   240
  3.977852e-01   7.758558e-24   2.397927e-04   2.746671e-25   336
  3.992708e-01   7.847050e-24   2.413972e-04   2.714204e-25   480
  4.004761e-01   7.461511e-24   0.000000e+00   1.058093e-24   72
  4.011493e-01   7.025706e-24   2.353842e-04   3.830193e-25   240
  4.020650e-01   7.087786e-24   2.212289e-04   2.634047e-25   312
  4.031147e-01   7.256080e-24   2.390954e-04   3.192678e-25   240
  4.047009e-01   7.737058e-24   1.816506e-04   2.712996e-25   408
  4.053288e-01   7.675782e-24   1.663482e-04   3.586419e-25   336
  4.065560e-01   7.636682e-24   2.112212e-04   3.679452e-25   264
  4.071591e-01   5.927589e-24   0.000000e+00   3.712796e-25   144
  4.088370e-01   7.042037e-24   2.927651e-04   2.178548e-25   464
  4.097211e-01   6.437079e-24   2.328083e-04   3.856741e-25   168
  4.105939e-01   5.823096e-24   2.120376e-04   2.550790e-25   336
  4.121713e-01   6.536535e-24   2.227870e-04   2.711754e-25   414
  4.130606e-01   8.350228e-24   2.319080e-04   4.703649e-25   216
  4.141998e-01   8.160425e-24   5.619580e-09   4.185032e-25   96
  4.146649e-01   6.389090e-24   1.685874e-08   2.706613e-25   384
  4.162944e-01   6.164491e-24   2.314600e-04   2.130869e-25   492
  4.171676e-01   6.841286e-24   2.263480e-04   3.620965e-25   240
  4.181546e-01   7.034026e-24   2.298225e-04   3.392048e-25   312
  4.195176e-01   6.669828e-24   2.297469e-04   4.283150e-25   192
  4.203810e-01   6.460516e-24   2.226525e-04   2.349831e-25   504
  4.215265e-01   6.808040e-24   1.473998e-04   2.505070e-25   408
  4.224284e-01   5.951828e-24   4.515774e-04   3.487372e-25   168
  4.235571e-01   8.270819e-24   2.145032e-04   3.991296e-25   288
  4.245041e-01   6.619795e-24   2.238525e-04   3.250677e-25   288
  4.254743e-01   6.209978e-24   2.251410e-04   2.168636e-25   432
  4.268815e-01   5.739999e-24   2.129084e-04   2.811048e-25   216
  4.276334e-01   5.756888e-24   2.124592e-04   2.381728e-25   360
  4.289721e-01   6.219430e-24   2.073582e-04   3.039085e-25   312
  4.301803e-01   6.204063e-24   0.000000e+00   5.917167e-25   48
  4.308767e-01   5.682056e-24   2.223178e-04   2.134965e-25   432
  4.321240e-01   5.126083e-24   3.708284e-04   1.810686e-25   414
  4.328606e-01   6.491176e-24   1.956255e-08   2.898227e-25   312
  4.342347e-01   6.170744e-24   3.253813e-04   2.317386e-25   528
  4.351620e-01   6.221121e-24   1.707976e-04   2.478451e-25   264
  4.362761e-01   5.661591e-24   2.025191e-04   2.019983e-25   480
  4.377318e-01   5.671032e-24   0.000000e+00   2.500252e-25   288
  4.383604e-01   5.587793e-24   2.176005e-04   2.981733e-25   168
  4.395105e-01   5.978257e-24   3.444610e-04   1.944173e-25   504
  4.408036e-01   6.050560e-24   7.492773e-09   4.170886e-25   144
  4.416171e-01   5.638492e-24   2.212265e-04   1.997241e-25   464
  4.428396e-01   5.881081e-24   3.246624e-04   2.267082e-25   432
  4.434197e-01   5.805517e-24   5.619580e-09   3.441373e-25   192
  4.449189e-01   5.338020e-24   2.406833e-04   1.943564e-25   396
  4.458042e-01   5.279523e-24   2.162000e-04   2.322871e-25   288
  4.466990e-01   5.365449e-24   2.135686e-04   2.282305e-25   336
  4.481283e-01   5.580182e-24   1.352359e-04   1.851515e-25   432
  4.490354e-01   5.137764e-24   3.505126e-04   1.880015e-25   360
  4.500539e-01   5.342225e-24   2.073334e-04   1.952742e-25   384
  4.515004e-01   5.402231e-24   1.830116e-04   2.614552e-25   198
  4.521974e-01   5.211792e-24   2.080246e-04   1.684775e-25   552
  4.534970e-01   5.044402e-24   2.912202e-04   2.106054e-25   432
  4.545821e-01   5.036803e-24   0.000000e+00   2.829904e-25   168
  4.554927e-01   5.452484e-24   3.610065e-04   1.694911e-25   480
  4.566974e-01   5.471779e-24   0.000000e+00   3.488811e-25   120
  4.572396e-01   5.476382e-24   2.948545e-04   2.560554e-25   336
  4.585628e-01   5.394912e-24   2.080152e-04   1.646354e-25   672
  4.598711e-01   5.925711e-24   3.025866e-04   2.196330e-25   528
  4.604805e-01   4.495032e-24   9.082613e-09   2.261043e-25   168
  4.618883e-01   5.242666e-24   3.375333e-04   2.064124e-25   456
  4.627474e-01   5.362493e-24   2.061344e-04   3.469252e-25   168
  4.636392e-01   5.385091e-24   2.057643e-04   1.831383e-25   504
  4.651216e-01   4.765318e-24   2.647872e-04   1.903901e-25   336
  4.660180e-01   5.146318e-24   1.908802e-04   2.256379e-25   312
  4.670124e-01   4.603654e-24   1.865029e-04   1.421983e-25   504
  4.683210e-01   4.596968e-24   1.294009e-04   1.552366e-25   432
  4.689362e-01   4.582139e-24   1.999672e-04   1.941331e-25   312
  4.702151e-01   4.559714e-24   2.049761e-04   1.859655e-25   384
  4.715504e-01   4.947499e-24   1.741510e-04   3.205155e-25   126
  4.723748e-01   5.180295e-24   3.057676e-04   1.951838e-25   492
  4.734278e-01   4.858570e-24   1.958445e-04   2.007552e-25   528
  4.747438e-01   4.683480e-24   1.989360e-04   1.530142e-25   480
  4.755596e-01   5.175041e-24   2.748289e-04   1.999319e-25   432
  4.767402e-01   4.799312e-24   2.161166e-04   1.883309e-25   440
  4.781114e-01   4.770737e-24   1.074739e-04   2.124150e-25   312
  4.786259e-01   4.278114e-24   1.610586e-04   1.507624e-25   480
  4.796813e-01   4.324343e-24   3.153497e-04   1.934976e-25   408
  4.812233e-01   4.972758e-24   1.888588e-04   1.745951e-25   360
  4.818747e-01   4.614758e-24   1.822418e-04   1.943121e-25   408
  4.830820e-01   4.012837e-24   1.854542e-04   1.296365e-25   456
  4.844414e-01   4.726059e-24   1.772485e-04   2.348512e-25   264
  4.851959e-01   4.389750e-24   1.923591e-04   1.628150e-25   384
  4.862943e-01   4.709732e-24   3.238501e-04   1.569169e-25   672
  4.875640e-01   4.944728e-24   1.937042e-04   2.638554e-25   240
  4.882967e-01   3.752858e-24   1.965613e-04   1.530200e-25   264
  4.893308e-01   3.794108e-24   2.424259e-04   1.109760e-25   624
  4.908739e-01   4.015802e-24   0.000000e+00   2.706787e-25   150
  4.914232e-01   4.589012e-24   2.716574e-04   1.550852e-25   600
  4.925819e-01   4.756345e-24   1.874909e-04   1.541889e-25   672
  4.938939e-01   4.532735e-24   1.763484e-04   1.829940e-25   336
  4.946248e-01   4.658965e-24   1.918157e-04   1.897034e-25   408
  4.957926e-01   4.424805e-24   1.913639e-04   1.701084e-25   408
  4.970915e-01   4.678216e-24   9.676385e-05   1.523284e-25   360
  4.978921e-01   4.442308e-24   3.552857e-04   1.646098e-25   456
  4.988592e-01   4.285619e-24   1.932065e-04   1.794006e-25   384
  5.000902e-01   4.149383e-24   1.783541e-04   1.793490e-25   348
  5.007554e-01   4.577822e-24   2.198754e-04   1.674922e-25   576
  5.020050e-01   4.109749e-24   1.810385e-04   1.341070e-25   504
  5.032833e-01   3.992922e-24   2.553443e-04   1.544719e-25   432
  5.043991e-01   4.138912e-24   3.473946e-04   1.316210e-25   576
  5.051948e-01   3.914200e-24   0.000000e+00   1.602978e-25   264
  5.064571e-01   3.750315e-24   2.764393e-04   9.843792e-26   768
  5.075549e-01   3.433959e-24   3.721752e-04   1.544802e-25   240
  5.084277e-01   3.457790e-24   3.282233e-04   2.159075e-25   192
  5.096990e-01   3.996797e-24   2.416124e-04   1.469090e-25   504
  5.106418e-01   4.152432e-24   3.255818e-04   1.436646e-25   590
  5.115460e-01   4.345584e-24   3.647966e-04   1.734961e-25   384
  5.126798e-01   4.241988e-24   3.048625e-04   1.783474e-25   504
  5.140486e-01   4.270450e-24   2.933830e-04   1.419523e-25   648
  5.153764e-01   3.610801e-24   7.967896e-05   1.460396e-25   504
  5.159117e-01   3.439274e-24   1.817627e-04   1.556821e-25   312
  5.168569e-01   4.190597e-24   2.618753e-04   1.437330e-25   576
  5.181545e-01   4.183911e-24   1.822405e-04   2.114582e-25   240
  5.189109e-01   3.812268e-24   1.841453e-04   1.193777e-25   552
  5.199816e-01   4.287259e-24   1.729082e-04   1.599606e-25   600
  5.215067e-01   3.905238e-24   2.111937e-04   1.247334e-25   600
  5.224237e-01   3.867762e-24   3.382099e-04   1.690510e-25   312
  5.233368e-01   3.967844e-24   2.945474e-04   1.406966e-25   480
  5.244775e-01   3.397988e-24   1.837693e-04   1.101106e-25   576
  5.254818e-01   3.977003e-24   2.959085e-04   1.799172e-25   408
  5.263729e-01   2.694794e-24   3.451909e-04   1.358415e-25   216
  5.275243e-01   3.638216e-24   2.643774e-04   1.210614e-25   516
  5.287578e-01   3.645748e-24   2.522429e-04   1.087059e-25   744
  5.300304e-01   3.929774e-24   1.684760e-04   1.340200e-25   462
  5.307494e-01   3.463978e-24   1.712315e-04   1.245733e-25   432
  5.318647e-01   3.791289e-24   1.588547e-04   1.319196e-25   648
  5.331761e-01   3.758858e-24   2.324340e-04   1.547008e-25   528
  5.342295e-01   4.174737e-24   2.799086e-04   1.462044e-25   600
  5.352820e-01   4.624763e-24   3.528915e-04   2.369312e-25   240
  5.363014e-01   3.557492e-24   2.703115e-04   1.101479e-25   720
  5.374863e-01   3.819838e-24   2.138653e-04   1.308771e-25   720
  5.387997e-01   2.791398e-24   0.000000e+00   1.849656e-25   144
