# power spectrum of B
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.404781e-01   1.176316e-17   0.000000e+00   7.054977e-19   120
  2.420760e-01   1.370651e-17   5.923557e-09   1.316642e-18   72
  2.428710e-01   1.066712e-17   3.746387e-09   7.337957e-19   144
  2.436634e-01   1.074993e-17   0.000000e+00   9.170564e-19   96
  2.444532e-01   9.181770e-18   0.000000e+00   8.863475e-19   96
  2.460253e-01   1.235793e-17   4.588368e-09   1.220154e-18   72
  2.468075e-01   9.950899e-18   3.973643e-09   7.595974e-19   96
  2.483647e-01   9.977049e-18   0.000000e+00   8.458911e-19   24
  2.491396e-01   9.766361e-18   0.000000e+00   5.134020e-19   192
  2.500522e-01   8.223368e-18   2.970416e-04   4.362051e-19   132
  2.514501e-01   1.008856e-17   0.000000e+00   7.376986e-19   96
  2.522156e-01   9.804464e-18   0.000000e+00   7.302594e-19   96
  2.529787e-01   7.596026e-18   3.178914e-09   5.313938e-19   120
  2.544981e-01   5.779549e-18   0.000000e+00   5.755875e-19   48
  2.557435e-01   1.041697e-17   3.599905e-04   5.338739e-19   222
  2.567603e-01   1.005777e-17   0.000000e+00   5.736421e-19   120
  2.575100e-01   1.006586e-17   4.866699e-09   1.837160e-18   24
  2.586015e-01   9.706557e-18   3.715625e-04   5.193434e-19   312
  2.609797e-01   8.931801e-18   3.483547e-04   8.726666e-19   72
  2.619630e-01   9.646868e-18   2.809790e-09   7.160297e-19   96
  2.629726e-01   8.131490e-18   3.547511e-04   4.847566e-19   192
  2.641613e-01   7.330048e-18   4.495664e-09   5.309752e-19   120
  2.648900e-01   9.477253e-18   0.000000e+00   4.826115e-19   144
  2.663415e-01   8.515691e-18   0.000000e+00   9.933748e-19   48
  2.673732e-01   7.755388e-18   3.567146e-04   3.419642e-19   336
  2.685040e-01   7.772916e-18   0.000000e+00   9.494842e-19   48
  2.699360e-01   7.655120e-18   0.000000e+00   4.906476e-19   192
  2.706492e-01   6.204929e-18   0.000000e+00   6.709649e-19   48
  2.726764e-01   7.062515e-18   2.476067e-04   6.276698e-19   56
  2.736844e-01   7.057305e-18   3.180112e-04   2.866601e-19   336
  2.748894e-01   6.663645e-18   3.532127e-09   5.929780e-19   54
  2.759390e-01   7.866954e-18   3.492904e-04   4.170341e-19   240
  2.781181e-01   7.464609e-18   3.344484e-04   4.424168e-19   228
  2.790651e-01   6.237363e-18   3.746387e-09   4.417906e-19   72
  2.799844e-01   8.500347e-18   3.244231e-04   5.769930e-19   144
  2.811298e-01   7.532045e-18   0.000000e+00   8.179499e-19   96
  2.818146e-01   6.940076e-18   4.495664e-09   3.291112e-19   240
  2.831793e-01   8.423061e-18   3.973643e-09   7.578726e-19   24
  2.840530e-01   6.272445e-18   3.064151e-04   2.913608e-19   336
  2.852142e-01   4.101784e-18   0.000000e+00   2.810998e-19   72
  2.862741e-01   7.767027e-18   3.332831e-04   5.438105e-19   168
  2.872346e-01   7.862756e-18   0.000000e+00   5.190488e-19   72
  2.885737e-01   7.946712e-18   0.000000e+00   5.437708e-19   96
  2.896108e-01   4.912720e-18   3.307829e-04   2.404740e-19   216
  2.905708e-01   5.190785e-18   3.973643e-09   3.010306e-19   96
  2.918946e-01   6.179569e-18   0.000000e+00   3.485155e-19   192
  2.925542e-01   6.423166e-18   3.746387e-09   3.599800e-19   144
  2.938691e-01   5.712780e-18   0.000000e+00   4.961091e-19   48
  2.947794e-01   6.005596e-18   3.189136e-04   2.832213e-19   246
  2.960164e-01   6.381167e-18   2.940434e-04   4.122727e-19   168
  2.971308e-01   5.611036e-18   5.506041e-09   5.701778e-19   120
  2.977788e-01   6.292329e-18   0.000000e+00   4.507938e-19   240
  2.990707e-01   6.099170e-18   3.973643e-09   1.171655e-18   24
  3.001001e-01   5.320173e-18   3.147475e-04   2.547929e-19   360
  3.013820e-01   7.258651e-18   3.134082e-04   4.802421e-19   120
  3.022763e-01   6.461702e-18   0.000000e+00   4.113377e-19   144
  3.029133e-01   6.072230e-18   0.000000e+00   5.050467e-19   96
  3.048165e-01   5.622294e-18   0.000000e+00   3.749199e-19   144
  3.054482e-01   5.981112e-18   0.000000e+00   3.681021e-19   132
  3.063360e-01   4.340257e-18   3.093292e-04   2.597832e-19   176
  3.076248e-01   4.625489e-18   3.123602e-04   1.983753e-19   312
  3.092116e-01   5.029835e-18   0.000000e+00   3.178026e-19   96
  3.098343e-01   3.690400e-18   0.000000e+00   1.945909e-19   144
  3.107899e-01   5.022524e-18   3.092271e-04   2.227289e-19   312
  3.123131e-01   4.362038e-18   0.000000e+00   4.189132e-19   48
  3.129297e-01   5.448499e-18   3.973643e-09   3.114600e-19   192
  3.141593e-01   1.064425e-17   0.000000e+00   1.799659e-18   6
  3.149762e-01   4.191855e-18   2.884066e-04   2.245412e-19   288
  3.162994e-01   5.462005e-18   3.047203e-04   3.453539e-19   192
  3.172124e-01   5.808884e-18   9.345130e-09   3.417575e-19   216
  3.178195e-01   5.500351e-18   0.000000e+00   4.585047e-19   72
  3.193321e-01   5.732052e-18   3.018264e-04   3.191466e-19   192
  3.203366e-01   4.403795e-18   2.241224e-04   2.407480e-19   288
  3.214381e-01   3.799923e-18   0.000000e+00   6.107915e-19   24
  3.222890e-01   3.953861e-18   2.952626e-04   1.540902e-19   456
  3.238280e-01   5.343216e-18   5.619580e-09   5.563041e-19   48
  3.247789e-01   4.267271e-18   2.908218e-04   2.292473e-19   240
  3.258718e-01   4.533554e-18   2.939082e-04   2.308102e-19   216
  3.267908e-01   4.613356e-18   0.000000e+00   3.663386e-19   72
  3.273801e-01   3.291598e-18   1.015467e-08   1.696439e-19   168
  3.290441e-01   3.674224e-18   2.184577e-04   1.668478e-19   288
  3.299773e-01   4.362276e-18   2.890570e-04   2.507974e-19   168
  3.314762e-01   3.448339e-18   0.000000e+00   1.941807e-19   192
  3.320572e-01   3.770913e-18   3.746387e-09   2.044224e-19   144
  3.332162e-01   5.644717e-18   0.000000e+00   5.380587e-19   36
  3.341991e-01   3.700066e-18   2.639705e-04   1.782018e-19   342
  3.351389e-01   3.656721e-18   2.710657e-04   2.237156e-19   144
  3.363470e-01   3.723325e-18   2.842800e-04   1.788408e-19   384
  3.378125e-01   3.023420e-18   7.786718e-09   1.888294e-19   120
  3.385379e-01   4.092638e-18   2.534951e-04   2.383912e-19   264
  3.395201e-01   3.728265e-18   1.256576e-08   2.367533e-19   192
  3.404451e-01   3.078970e-18   2.731894e-04   1.849769e-19   152
  3.412191e-01   3.965342e-18   7.492773e-09   3.571286e-19   144
  3.428472e-01   3.771616e-18   1.768108e-04   1.903513e-19   216
  3.436008e-01   3.817621e-18   2.362665e-04   1.884349e-19   312
  3.449274e-01   3.453692e-18   2.738281e-04   1.640346e-19   240
  3.457090e-01   3.007877e-18   3.973643e-09   1.866326e-19   96
  3.471927e-01   2.382379e-18   2.617995e-04   1.444536e-19   144
  3.481071e-01   3.477963e-18   2.573258e-04   1.448285e-19   456
  3.495904e-01   2.355272e-18   0.000000e+00   1.293934e-19   120
  3.501414e-01   3.198374e-18   0.000000e+00   2.620639e-19   144
  3.512407e-01   3.713227e-18   0.000000e+00   4.124650e-19   24
  3.519456e-01   2.452220e-18   2.473498e-04   1.015486e-19   336
  3.531645e-01   3.445814e-18   2.727931e-04   2.322231e-19   198
  3.543067e-01   3.083321e-18   2.652756e-04   1.603607e-19   432
  3.556041e-01   3.818423e-18   0.000000e+00   4.700205e-19   48
  3.562810e-01   3.177256e-18   2.341925e-04   1.348084e-19   384
  3.574963e-01   2.709645e-18   2.696052e-04   2.219355e-19   144
  3.585975e-01   3.847987e-18   2.676825e-04   2.104743e-19   264
  3.599147e-01   2.766529e-18   0.000000e+00   2.329477e-19   48
  3.607984e-01   3.158219e-18   2.545223e-04   1.783552e-19   276
  3.616510e-01   2.941621e-18   2.307176e-04   1.884708e-19   192
  3.627906e-01   2.875043e-18   2.592759e-04   1.111151e-19   552
  3.641741e-01   2.749585e-18   8.991328e-09   2.162092e-19   120
  3.649965e-01   2.050667e-18   2.624511e-04   9.763478e-20   216
  3.657587e-01   2.409444e-18   4.495664e-09   1.819884e-19   120
  3.671201e-01   2.838586e-18   2.584500e-04   1.540343e-19   408
  3.683844e-01   1.065832e-18   5.619580e-09   1.630825e-19   24
  3.691684e-01   2.392745e-18   2.610810e-04   9.592188e-20   384
  3.702633e-01   2.313699e-18   2.550855e-04   1.217860e-19   240
  3.712141e-01   2.553714e-18   2.569535e-04   1.650321e-19   168
  3.725471e-01   2.270826e-18   6.357829e-09   1.808091e-19   120
  3.734064e-01   2.783380e-18   2.678605e-04   1.344932e-19   350
  3.748037e-01   2.654059e-18   4.409502e-04   1.231334e-19   384
  3.756388e-01   2.988335e-18   0.000000e+00   2.853491e-19   144
  3.771752e-01   2.363923e-18   1.059638e-08   1.097458e-19   288
  3.779773e-01   2.841294e-18   2.524053e-04   1.545496e-19   336
  3.790686e-01   1.894722e-18   2.297941e-04   1.184162e-19   168
  3.797219e-01   2.393294e-18   4.541306e-09   1.218528e-19   336
  3.810732e-01   2.543261e-18   2.385126e-04   1.409724e-19   288
  3.818848e-01   2.793435e-18   2.247398e-04   1.464454e-19   264
  3.832590e-01   2.299959e-18   0.000000e+00   1.489445e-19   240
  3.837616e-01   2.235028e-18   7.947286e-09   1.927886e-19   96
  3.855656e-01   2.230888e-18   3.056310e-04   9.815000e-20   360
  3.864075e-01   2.567282e-18   2.253025e-04   1.775332e-19   168
  3.874713e-01   2.153921e-18   2.456032e-04   8.297779e-20   456
  3.887523e-01   2.039361e-18   7.064254e-09   1.529793e-19   108
  3.894728e-01   1.688220e-18   2.464311e-04   8.815900e-20   264
  3.903716e-01   2.099757e-18   2.198567e-04   1.532353e-19   264
  3.916025e-01   2.523842e-18   2.074668e-04   1.437795e-19   312
  3.931351e-01   2.020239e-18   1.541705e-04   1.041523e-19   270
  3.937775e-01   2.236214e-18   1.957388e-04   1.432857e-19   240
  3.949323e-01   2.208062e-18   2.421536e-04   1.101216e-19   384
  3.956334e-01   1.857961e-18   0.000000e+00   1.045870e-19   192
